RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,LK04340411,          6.458,         80.875,   316.87,2010121,2010244,2010250,2010310,2011004,2011004,2011,-99,16791,5548,5548,0,8283,.2699999,2055,410.9731,.3304144,4.372191,-99.00000,-99,-99,-99,-99,-99,0,0,1434,770,327,443,136,340,247,2,100,0,180,24,19,117,155,86,.7156833,-99,-99,-99,-99,-99,-99,-99,-99,250,26808,26807,0,0,192719,192689,.000000,.4170264E-01,17.25384,37.55546,51.31331,-99.00000,5.700780,12.40856,16.95425,-99.00000,167.9144,93.28578,55.48000,30.82222,125,27.29600,21.63920,15.96160,11.79880,390.4603,973.2001,447.1106,121.8501,327.2336,1,
2,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,LK04340411,          6.458,         80.875,   316.87,2011121,2011244,2011250,2011311,2012003,2012003,2012,-99,15866,5980,5980,0,9209,.2580000,2318,463.5697,.3769196,3.290037,-99.00000,-99,-99,-99,-99,-99,0,0,878,670,304,366,47,18,201,2,100,0,156,1,21,69,135,89,.1471775,-99,-99,-99,-99,-99,-99,-99,-99,250,26856,26854,0,0,193117,193086,.000000,.1449634E-02,23.30432,36.99273,52.18003,-99.00000,8.783782,13.94317,19.66752,-99.00000,158.6558,101.7024,59.80000,38.33333,124,28.09516,21.49677,17.21209,11.80012,392.2978,680.8001,428.8838,128.4612,304.0546,1,
3,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,LK04340411,          6.458,         80.875,   316.87,2012121,2012244,2012250,2012310,2013001,2013001,2013,-99,14620,4865,4865,0,6772,.2640353,1843,368.5462,.3328051,4.012573,-99.00000,-99,-99,-99,-99,-99,0,0,1227,604,327,277,135,315,233,2,100,0,156,14,19,80,130,69,.1464546,-99,-99,-99,-99,-99,-99,-99,-99,250,26846,26845,0,0,193088,193056,.000000,.9536853E-01,13.73759,34.64503,44.74834,-99.00000,4.571508,11.52895,14.89107,-99.00000,146.1955,93.71503,48.65000,31.18590,123,27.84472,21.80162,16.59106,11.80147,394.7861,1064.200,421.9811,97.92941,326.7059,1,
4,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,LK04340411,          6.458,         80.875,   316.87,2013121,2013244,2013250,2013312,2014004,2014004,2014,-99,17262,5828,5828,0,8482,.2640001,2208,441.5332,.3376405,4.582123,-99.00000,-99,-99,-99,-99,-99,0,0,957,738,360,378,55,39,184,2,100,0,190,2,21,103,159,89,.2680280,-99,-99,-99,-99,-99,-99,-99,-99,250,26823,26822,0,0,192897,192864,.000000,.3991241E-01,30.30490,38.75792,47.92919,-99.00000,10.23174,13.08570,16.18217,-99.00000,172.6167,90.85091,58.28000,30.67369,125,28.00800,21.52160,16.98800,11.79880,397.2993,569.6000,445.3715,88.41154,360.1494,1,
5,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,LK04340411,          6.458,         80.875,   316.87,2014121,2014244,2014250,2014311,2015003,2015003,2015,-99,16754,5583,5583,0,7851,.2640325,2114,422.8838,.3332260,4.483257,-99.00000,-99,-99,-99,-99,-99,0,0,1260,655,319,337,86,355,223,2,100,0,167,17,17,94,147,79,.4613171,-99,-99,-99,-99,-99,-99,-99,-99,250,26830,26829,0,0,192896,192867,.000000,.1774287,16.48820,39.93305,52.56988,-99.00000,5.494538,13.30732,17.51842,-99.00000,167.5366,100.3213,55.83000,33.43114,124,27.65000,22.07983,15.81774,11.80012,399.2766,1016.100,419.5436,104.8840,318.6931,1,
6,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,LK04340411,          6.458,         80.875,   316.87,2015121,2015245,2015251,2015311,2016002,2016002,2016,-99,14880,4631,4631,0,6890,.2580000,1795,358.9779,.3112098,4.418983,-99.00000,-99,-99,-99,-99,-99,0,0,1291,792,326,466,74,272,211,2,100,0,172,13,21,98,146,76,.3766361,-99,-99,-99,-99,-99,-99,-99,-99,250,26826,26825,0,0,192858,192830,.000000,.3561917,15.92129,32.50188,45.70619,-99.00000,4.955060,10.11531,14.22478,-99.00000,148.8004,86.51189,46.31000,26.92442,122,27.72130,22.18197,16.17869,11.79887,401.8325,934.6002,457.8210,134.8349,325.5586,1,
7,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,LK04340411,          6.458,         80.875,   316.87,2016121,2016244,2016250,2016308,2016364,2016364,2016,-99,15025,5106,5106,0,8081,.2580000,1979,395.7994,.3398226,4.000640,-99.00000,-99,-99,-99,-99,-99,0,0,870,619,334,285,75,49,185,2,100,0,186,6,34,116,146,86,.1827008,-99,-99,-99,-99,-99,-99,-99,-99,250,26811,26809,0,0,192780,192744,.000000,.4419129E-01,32.44424,37.75048,44.93750,-99.00000,11.02569,12.82894,15.27135,-99.00000,150.2493,80.77919,51.06000,27.45161,120,29.04334,21.77000,17.61417,11.80573,404.9631,463.1001,398.0063,66.13661,334.3517,1,
8,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,LK04340411,          6.458,         80.875,   316.87,2017121,2017244,2017250,2017308,2017363,2017363,2017,-99,16367,5483,5483,0,8380,.2580000,2125,425.0586,.3350100,4.693136,-99.00000,-99,-99,-99,-99,-99,0,0,1222,785,334,451,104,161,231,2,100,0,180,6,19,96,156,90,.3533888,-99,-99,-99,-99,-99,-99,-99,-99,250,26828,26826,0,0,192867,192837,.000000,.7911298E-01,19.67004,35.72850,49.02630,-99.00000,6.589353,11.96885,16.42353,-99.00000,163.6744,90.93024,54.83000,30.46111,119,28.59832,22.11933,16.70168,11.80722,407.0141,832.1000,458.1060,127.3377,333.8503,1,
9,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,LK04340411,          6.458,         80.875,   316.87,2018121,2018244,2018250,2018309,2019001,2019001,2019,-99,16194,5309,5309,0,7797,.2640001,2011,402.2212,.3278598,4.433097,-99.00000,-99,-99,-99,-99,-99,0,0,1246,818,350,469,60,238,189,2,100,0,175,16,25,112,152,83,.6901200,-99,-99,-99,-99,-99,-99,-99,-99,250,26813,26811,0,0,192759,192729,.000000,.1079809,20.24488,36.05182,46.31367,-99.00000,6.637079,11.81922,15.18347,-99.00000,161.9388,92.53645,53.09000,30.33714,122,28.45983,21.49836,17.66639,11.80286,409.4059,799.9000,449.1834,102.9128,349.6566,1,
10,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,LK04340411,          6.458,         80.875,   316.87,2019121,2019244,2019250,2019311,2020001,2020001,2020,-99,15433,5202,5202,0,7618,.2519999,2064,412.8524,.3370596,4.070430,-99.00000,-99,-99,-99,-99,-99,0,0,1434,793,316,476,112,374,214,2,100,0,155,24,22,97,135,75,.5898325,-99,-99,-99,-99,-99,-99,-99,-99,250,26827,26826,0,0,192846,192818,.000000,.2196014,14.13046,34.75756,48.76548,-99.00000,4.762863,11.71551,16.43707,-99.00000,154.3329,99.56961,52.02000,33.56129,122,27.98524,22.02541,15.71311,11.80286,412.1890,1092.200,444.0268,130.8701,316.4798,1,
