RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     108,     -99,    4412,     -99,     -99,     -99,    1854,     -99,  0.2380,     -99,   370.7,     -99,   15405,     -99,   11078,     -99,    4.67,     -99,   0.286,     -99,     -99,     -99,      75,     -99,     155,     -99,      80,     -99,     1.7,     -99,    9268,     -99,     152,     -99,   27.87,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3397,     -99,     -99,     -99,    1521,     -99,  0.2234,     -99,   304.1,     -99,    9368,     -99,    6014,     -99,    1.83,     -99,   0.363,     -99,     -99,     -99,      59,     -99,     101,     -99,      41,     -99,     1.7,     -99,    4486,     -99,      94,     -99,   27.85,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     114,     -99,    3711,     -99,     -99,     -99,    1546,     -99,  0.2401,     -99,   309.1,     -99,   13351,     -99,    9722,     -99,    4.18,     -99,   0.278,     -99,     -99,     -99,      58,     -99,     133,     -99,      75,     -99,     1.6,     -99,    8297,     -99,     123,     -99,   28.00,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4165,     -99,     -99,     -99,    1820,     -99,  0.2288,     -99,   364.1,     -99,   10670,     -99,    6554,     -99,    2.03,     -99,   0.390,     -99,     -99,     -99,      73,     -99,     116,     -99,      44,     -99,     1.7,     -99,    4833,     -99,      97,     -99,   28.82,     -99,       5,     -99
5,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4450,     -99,     -99,     -99,    1917,     -99,  0.2322,     -99,   383.4,     -99,   14459,     -99,   10079,     -99,    3.77,     -99,   0.308,     -99,     -99,     -99,      75,     -99,     141,     -99,      66,     -99,     1.7,     -99,    8101,     -99,     136,     -99,   28.28,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4698,     -99,     -99,     -99,    2101,     -99,  0.2236,     -99,   420.3,     -99,   14077,     -99,    9455,     -99,    3.60,     -99,   0.334,     -99,     -99,     -99,      80,     -99,     138,     -99,      58,     -99,     1.7,     -99,    7241,     -99,     136,     -99,   28.07,     -99,       5,     -99
7,GHMZ8001,SN,1,1,MZ,55,     -99,     -99,     -99,     -99,     -99,     104,     -99,    3617,     -99,     -99,     -99,    1661,     -99,  0.2177,     -99,   332.2,     -99,   10463,     -99,    6905,     -99,    2.45,     -99,   0.346,     -99,     -99,     -99,      63,     -99,     116,     -99,      52,     -99,     1.8,     -99,    5402,     -99,     116,     -99,   28.47,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     108,     -99,    4264,     -99,     -99,     -99,    1920,     -99,  0.2221,     -99,   384.0,     -99,   14011,     -99,    9821,     -99,    3.71,     -99,   0.304,     -99,     -99,     -99,      74,     -99,     137,     -99,      63,     -99,     1.7,     -99,    7847,     -99,     141,     -99,   28.79,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3925,     -99,     -99,     -99,    1746,     -99,  0.2248,     -99,   349.2,     -99,   14835,     -99,   11001,     -99,    4.85,     -99,   0.265,     -99,     -99,     -99,      68,     -99,     153,     -99,      85,     -99,     1.7,     -99,    9378,     -99,     159,     -99,   28.35,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4888,     -99,     -99,     -99,    2217,     -99,  0.2204,     -99,   443.5,     -99,   15351,     -99,   10549,     -99,    4.54,     -99,   0.318,     -99,     -99,     -99,      77,     -99,     147,     -99,      69,     -99,     1.6,     -99,    8222,     -99,     137,     -99,   28.00,     -99,       5,     -99
