RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,US02653733,         39.000,        -76.000,      -99,2010032,2010105,2010120,2010193,2010244,2010244,2010,-99,13683,5198,5198,0,8132,.2122751,2449,489.7671,.3799054,2.845678,-99.00000,-99,-99,-99,-99,-99,0,0,665,620,343,277,61,0,42,3,200,0,199,0,60,50,147,91,.2316912,-99,-99,-99,-99,-99,-99,-99,-99,250,28378,28376,0,0,203976,203937,.000000,.000000,35.38416,28.01195,39.90861,-99.00000,13.44194,10.64134,15.16072,-99.00000,68.41528,68.75908,25.99000,26.12060,139,27.66691,17.84748,21.56619,14.08266,389.7407,386.7000,488.4722,147.0393,342.8598,1,
2,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,US02653733,         39.000,        -76.000,      -99,2011032,2011105,2011116,2011191,2011241,2011241,2011,-99,17089,5415,5415,0,8763,.1772085,3056,611.1992,.3168903,4.142159,-99.00000,-99,-99,-99,-99,-99,0,0,924,678,360,319,121,0,182,3,200,0,225,0,34,50,178,95,.2522444,-99,-99,-99,-99,-99,-99,-99,-99,250,28375,28373,0,0,203873,203838,.000000,.000000,24.73865,32.16454,47.52314,-99.00000,7.838737,10.19172,15.05828,-99.00000,85.44729,75.95314,27.07500,24.06667,136,27.82132,18.48235,20.69853,14.10797,391.5512,690.8000,531.3135,175.4194,359.6028,1,
3,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,US02653733,         39.000,        -76.000,      -99,2012032,2012106,2012121,2012192,2012242,2012242,2012,-99,8973,2695,2695,0,3930,.1792356,1504,300.7649,.3003890,2.791087,-99.00000,-99,-99,-99,-99,-99,0,0,594,505,235,270,57,0,90,3,200,0,152,0,92,34,117,48,.2223986,-99,-99,-99,-99,-99,-99,-99,-99,250,28389,28387,0,0,203944,203904,.000000,.000000,18.64325,21.94447,38.11901,-99.00000,5.599418,6.590923,11.44888,-99.00000,44.86499,59.03288,13.47500,17.73026,136,27.85514,18.36030,20.62647,14.10767,393.8018,481.3000,408.8957,176.1743,235.3943,1,
4,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,US02653733,         39.000,        -76.000,      -99,2013032,2013105,2013120,2013197,2013255,2013255,2013,-99,21007,8437,8437,0,12268,.2819999,2992,598.3637,.4016241,4.858240,-99.00000,-99,-99,-99,-99,-99,0,0,817,714,428,286,58,0,104,3,200,0,250,0,26,68,196,133,.5326818,-99,-99,-99,-99,-99,-99,-99,-99,250,28364,28362,0,0,203906,203876,.000000,.000000,34.44903,35.67914,49.12876,-99.00000,13.83568,14.32973,19.73147,-99.00000,105.0351,84.02808,42.18500,33.74800,150,25.74999,17.19600,20.22000,13.97675,396.5208,609.8000,588.7759,164.2811,427.5911,1,
5,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,US02653733,         39.000,        -76.000,      -99,2014032,2014105,2014123,2014198,2014257,2014257,2014,-99,19988,7749,7749,0,11787,.2675934,2896,579.1980,.3877156,4.475779,-99.00000,-99,-99,-99,-99,-99,0,0,832,738,433,304,40,8,105,3,200,0,243,0,28,63,181,122,.2689663,-99,-99,-99,-99,-99,-99,-99,-99,250,28371,28369,0,0,204057,204024,.000000,.000000,34.71263,32.08502,46.14115,-99.00000,13.45780,12.43909,17.88854,-99.00000,99.93768,82.25323,38.74500,31.88889,152,25.68552,16.48158,20.76644,13.95547,398.6225,575.8001,622.9553,192.8336,433.1824,1,
6,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,US02653733,         39.000,        -76.000,      -99,2015032,2015105,2015120,2015194,2015247,2015247,2015,-99,19886,6457,6457,0,10558,.2278872,2834,566.7181,.3247127,5.012183,-99.00000,-99,-99,-99,-99,-99,0,0,689,663,425,238,34,0,51,3,200,0,245,0,23,59,186,109,.2369360,-99,-99,-99,-99,-99,-99,-99,-99,250,28374,28372,0,0,204075,204040,.000000,.000000,41.62962,35.73617,46.79870,-99.00000,13.51685,11.60329,15.19522,-99.00000,99.43233,81.16925,32.28500,26.35510,142,26.75634,17.67817,21.52747,14.05576,400.7125,477.7000,556.4801,132.4521,424.9363,1,
7,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,US02653733,         39.000,        -76.000,      -99,2016032,2016110,2016123,2016200,2016250,2016250,2016,-99,15484,4284,4284,0,6583,.1867581,2294,458.7359,.2766493,4.764547,-99.00000,-99,-99,-99,-99,-99,0,0,697,699,393,306,28,0,28,3,200,0,229,0,35,54,185,76,.2453356,-99,-99,-99,-99,-99,-99,-99,-99,250,28372,28370,0,0,203840,203806,.000000,.000000,31.11109,27.34955,39.40114,-99.00000,8.607596,7.566880,10.90123,-99.00000,77.41993,67.61566,21.42000,18.70742,140,26.97428,17.87214,20.70428,14.06042,404.0647,497.6999,566.1514,173.6237,392.9832,1,
8,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,US02653733,         39.000,        -76.000,      -99,2017032,2017105,2017116,2017191,2017248,2017248,2017,-99,11060,3059,3059,0,4512,.2461315,1243,248.5440,.2765697,3.886681,-99.00000,-99,-99,-99,-99,-99,0,0,742,624,331,293,61,0,115,3,200,0,192,0,66,49,155,52,.2893918,-99,-99,-99,-99,-99,-99,-99,-99,250,28375,28373,0,0,203803,203768,.000000,.000000,18.97000,21.87540,33.41753,-99.00000,5.246999,6.050617,9.243107,-99.00000,55.29755,57.60162,15.29500,15.93229,143,26.58182,17.58741,19.93776,14.04645,406.3765,582.9999,505.5683,178.3376,330.9493,1,
9,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,US02653733,         39.000,        -76.000,      -99,2018032,2018105,2018122,2018194,2018248,2018248,2018,-99,16660,6011,6011,0,8705,.2461758,2442,488.3255,.3607781,4.260493,-99.00000,-99,-99,-99,-99,-99,0,0,897,698,397,301,74,116,68,3,200,0,223,8,36,60,162,99,.6732207,-99,-99,-99,-99,-99,-99,-99,-99,250,28375,28373,0,0,204144,204109,.000000,.000000,26.18732,28.68897,42.00383,-99.00000,9.448288,10.35087,15.15482,-99.00000,83.30186,74.71018,30.05500,26.95516,143,26.43567,17.76503,20.38461,14.04645,408.3665,636.1999,580.7240,188.0921,396.6394,1,
10,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,US02653733,         39.000,        -76.000,      -99,2019032,2019109,2019119,2019194,2019244,2019244,2019,-99,19713,6143,6143,0,10062,.1981565,3100,620.0000,.3116180,5.079195,-99.00000,-99,-99,-99,-99,-99,0,0,721,747,429,319,15,0,17,3,200,0,250,0,15,56,188,105,.4030518,-99,-99,-99,-99,-99,-99,-99,-99,250,28380,28378,0,0,204205,204172,.000000,.000000,43.03157,33.06184,45.99084,-99.00000,13.40974,10.30291,14.33192,-99.00000,98.56381,78.85104,30.71500,24.57200,135,27.79482,18.66889,21.58667,14.11236,411.2725,458.1000,596.2392,168.0464,428.6236,1,
