RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,106,     -99,     -99,     -99,     -99,     -99,     207,     -99,   10520,     -99,     -99,     -99,    2695,     -99,  0.3904,     -99,   539.0,     -99,   22155,     -99,   11719,     -99,    4.86,     -99,   0.475,     -99,     -99,     -99,     130,     -99,     167,     -99,      37,     -99,     1.2,     -99,    9561,     -99,     177,     -99,   26.26,     -99,      17,     -99
2,USMZ8001,SN,1,1,MZ,89,     -99,     -99,     -99,     -99,     -99,     174,     -99,    5557,     -99,     -99,     -99,    2698,     -99,  0.2060,     -99,   539.6,     -99,   17454,     -99,   11981,     -99,    4.80,     -99,   0.318,     -99,     -99,     -99,     101,     -99,     178,     -99,      77,     -99,     1.8,     -99,    9241,     -99,     185,     -99,   26.53,     -99,      12,     -99
3,USMZ8001,SN,1,1,MZ,95,     -99,     -99,     -99,     -99,     -99,     163,     -99,    3683,     -99,     -99,     -99,    1973,     -99,  0.1866,     -99,   394.6,     -99,   12183,     -99,    8581,     -99,    4.09,     -99,   0.302,     -99,     -99,     -99,      67,     -99,     159,     -99,      91,     -99,     1.8,     -99,    7567,     -99,     159,     -99,   27.85,     -99,      17,     -99
4,USMZ8001,SN,1,1,MZ,110,     -99,     -99,     -99,     -99,     -99,     182,     -99,    6575,     -99,     -99,     -99,    2497,     -99,  0.2633,     -99,   499.5,     -99,   20018,     -99,   13538,     -99,    4.93,     -99,   0.328,     -99,     -99,     -99,      94,     -99,     177,     -99,      83,     -99,     1.4,     -99,   10663,     -99,     180,     -99,   28.57,     -99,      16,     -99
5,USMZ8001,SN,1,1,MZ,111,     -99,     -99,     -99,     -99,     -99,     199,     -99,    7139,     -99,     -99,     -99,    2459,     -99,  0.2904,     -99,   491.7,     -99,   18977,     -99,   11928,     -99,    4.94,     -99,   0.376,     -99,     -99,     -99,     102,     -99,     173,     -99,      71,     -99,     1.4,     -99,    9883,     -99,     174,     -99,   27.12,     -99,      25,     -99
6,USMZ8001,SN,1,1,MZ,108,     -99,     -99,     -99,     -99,     -99,     215,     -99,   10001,     -99,     -99,     -99,    2446,     -99,  0.4088,     -99,   489.2,     -99,   21121,     -99,   11205,     -99,    4.88,     -99,   0.474,     -99,     -99,     -99,     124,     -99,     165,     -99,      41,     -99,     1.2,     -99,    9606,     -99,     173,     -99,   26.55,     -99,      18,     -99
7,USMZ8001,SN,1,1,MZ,107,     -99,     -99,     -99,     -99,     -99,     223,     -99,    9319,     -99,     -99,     -99,    2236,     -99,  0.4168,     -99,   447.2,     -99,   20189,     -99,   10961,     -99,    4.90,     -99,   0.462,     -99,     -99,     -99,     113,     -99,     164,     -99,      51,     -99,     1.2,     -99,   10198,     -99,     172,     -99,   27.81,     -99,      19,     -99
8,USMZ8001,SN,1,1,MZ,114,     -99,     -99,     -99,     -99,     -99,     202,     -99,    5449,     -99,     -99,     -99,    1886,     -99,  0.2889,     -99,   377.2,     -99,   17971,     -99,   12614,     -99,    4.86,     -99,   0.303,     -99,     -99,     -99,      84,     -99,     161,     -99,      78,     -99,     1.5,     -99,    9739,     -99,     170,     -99,   27.56,     -99,      23,     -99
9,USMZ8001,SN,1,1,MZ,89,     -99,     -99,     -99,     -99,     -99,     174,     -99,    8243,     -99,     -99,     -99,    2601,     -99,  0.3169,     -99,   520.2,     -99,   21352,     -99,   13199,     -99,    4.94,     -99,   0.386,     -99,     -99,     -99,     121,     -99,     182,     -99,      61,     -99,     1.5,     -99,   10028,     -99,     188,     -99,   27.34,     -99,      11,     -99
10,USMZ8001,SN,1,1,MZ,106,     -99,     -99,     -99,     -99,     -99,     195,     -99,    7859,     -99,     -99,     -99,    2662,     -99,  0.2952,     -99,   532.4,     -99,   20654,     -99,   12877,     -99,    4.72,     -99,   0.380,     -99,     -99,     -99,     121,     -99,     186,     -99,      65,     -99,     1.5,     -99,    8941,     -99,     178,     -99,   25.96,     -99,      24,     -99
