RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     125,     -99,    5440,     -99,     -99,     -99,    1888,     -99,  0.2882,     -99,   377.6,     -99,   16197,     -99,   10841,     -99,    4.32,     -99,   0.336,     -99,     -99,     -99,      74,     -99,     138,     -99,      63,     -99,     1.4,     -99,    8720,     -99,     129,     -99,   27.42,     -99,       5,     -99
2,USMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5332,     -99,     -99,     -99,    1928,     -99,  0.2765,     -99,   385.7,     -99,   17018,     -99,   11775,     -99,    4.44,     -99,   0.313,     -99,     -99,     -99,      71,     -99,     142,     -99,      71,     -99,     1.3,     -99,    9180,     -99,     134,     -99,   27.97,     -99,       5,     -99
3,USMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     124,     -99,    4877,     -99,     -99,     -99,    1765,     -99,  0.2764,     -99,   352.9,     -99,   15610,     -99,   10821,     -99,    4.39,     -99,   0.312,     -99,     -99,     -99,      67,     -99,     133,     -99,      66,     -99,     1.4,     -99,    8585,     -99,     127,     -99,   27.74,     -99,       5,     -99
4,USMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     121,     -99,    6094,     -99,     -99,     -99,    2257,     -99,  0.2700,     -99,   451.4,     -99,   17628,     -99,   11620,     -99,    4.45,     -99,   0.346,     -99,     -99,     -99,      82,     -99,     143,     -99,      61,     -99,     1.4,     -99,    8730,     -99,     137,     -99,   27.40,     -99,       6,     -99
5,USMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5566,     -99,     -99,     -99,    1972,     -99,  0.2823,     -99,   394.4,     -99,   16492,     -99,   11012,     -99,    4.49,     -99,   0.338,     -99,     -99,     -99,      74,     -99,     138,     -99,      63,     -99,     1.3,     -99,    8891,     -99,     131,     -99,   27.82,     -99,       5,     -99
6,USMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     124,     -99,    5360,     -99,     -99,     -99,    1985,     -99,  0.2700,     -99,   397.1,     -99,   15721,     -99,   10441,     -99,    4.29,     -99,   0.341,     -99,     -99,     -99,      78,     -99,     137,     -99,      59,     -99,     1.5,     -99,    8212,     -99,     131,     -99,   26.71,     -99,       6,     -99
7,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     116,     -99,    3435,     -99,     -99,     -99,    1272,     -99,  0.2700,     -99,   254.5,     -99,    8289,     -99,    4902,     -99,    1.56,     -99,   0.414,     -99,     -99,     -99,      58,     -99,      93,     -99,      34,     -99,     1.7,     -99,    3551,     -99,      76,     -99,   28.08,     -99,       5,     -99
8,USMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     121,     -99,    5377,     -99,     -99,     -99,    1991,     -99,  0.2700,     -99,   398.3,     -99,   16598,     -99,   11306,     -99,    4.60,     -99,   0.324,     -99,     -99,     -99,      83,     -99,     150,     -99,      67,     -99,     1.5,     -99,    8873,     -99,     146,     -99,   27.04,     -99,       6,     -99
9,USMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5170,     -99,     -99,     -99,    1873,     -99,  0.2760,     -99,   374.6,     -99,   16077,     -99,   10992,     -99,    4.48,     -99,   0.322,     -99,     -99,     -99,      77,     -99,     147,     -99,      70,     -99,     1.5,     -99,    8967,     -99,     139,     -99,   27.43,     -99,       5,     -99
10,USMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     -99,     -99,    5917,     -99,     -99,     -99,    2143,     -99,  0.2761,     -99,   428.5,     -99,   16290,     -99,   10452,     -99,    4.13,     -99,   0.363,     -99,     -99,     -99,      76,     -99,     131,     -99,      55,     -99,     1.3,     -99,    7878,     -99,     122,     -99,   27.21,     -99,       5,     -99
