RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,LK04210805,          8.792,         80.458,    24.02,2010121,2010244,2010249,2010304,2010355,2010355,2010,-99,14734,4117,4117,0,6050,.2318624,1776,355.1385,.2794352,4.531178,-99.00000,-99,-99,-99,-99,-99,0,0,1311,694,310,384,150,276,254,2,100,0,167,11,17,88,146,67,.4804805,-99,-99,-99,-99,-99,-99,-99,-99,250,27697,27696,0,0,199117,199088,.000000,.1871072,14.22326,34.33014,47.58447,-99.00000,3.974321,9.592671,13.29625,-99.00000,147.3387,88.22678,41.17000,24.65269,111,28.70902,25.52523,16.42612,11.75442,390.4253,1035.900,429.1818,121.1615,309.6362,1,
2,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,LK04210805,          8.792,         80.458,    24.02,2011121,2011244,2011249,2011301,2011351,2011351,2011,-99,13445,3910,3910,0,5775,.2311876,1691,338.2425,.2908101,3.928525,-99.00000,-99,-99,-99,-99,-99,0,0,1116,528,298,230,153,247,251,2,100,0,152,13,21,77,133,65,.1310664,-99,-99,-99,-99,-99,-99,-99,-99,250,27708,27706,0,0,199277,199245,.000000,.1287857,13.75565,36.14217,45.14689,-99.00000,4.000410,10.51085,13.12959,-99.00000,134.4477,88.45242,39.10000,25.72368,107,29.61028,25.93551,17.48691,11.76439,392.2421,977.4000,371.9967,76.87342,297.8005,1,
3,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,LK04210805,          8.792,         80.458,    24.02,2012121,2012252,2012257,2012311,2012361,2012361,2012,-99,14196,4438,4438,0,6305,.2332126,1903,380.5948,.3126313,4.294448,-99.00000,-99,-99,-99,-99,-99,0,0,1349,506,295,210,242,407,257,2,100,0,155,23,18,87,134,68,.1450868,-99,-99,-99,-99,-99,-99,-99,-99,250,27699,27697,0,0,199199,199171,.000000,.1525160,11.19523,33.72071,48.04449,-99.00000,3.500000,10.54221,15.02030,-99.00000,141.9555,91.58421,44.38000,28.63226,109,29.20183,25.66514,16.22385,11.71189,394.7963,1268.000,420.9742,127.2631,295.4668,1,
4,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,LK04210805,          8.792,         80.458,    24.02,2013121,2013244,2013249,2013302,2013352,2013352,2013,-99,14551,4788,4788,0,7392,.2177562,2199,439.7588,.3290454,3.807719,-99.00000,-99,-99,-99,-99,-99,0,0,734,624,297,328,43,0,130,2,100,0,163,0,17,71,137,79,.3675145,-99,-99,-99,-99,-99,-99,-99,-99,250,27716,27714,0,0,199310,199276,.000000,.5775580E-02,28.49268,35.88837,49.07448,-99.00000,9.375366,11.80888,16.14770,-99.00000,145.5121,89.27123,47.88000,29.37423,108,29.41111,25.77962,17.57500,11.76183,397.2456,510.7000,405.4576,111.0268,296.5128,1,
5,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,LK04210805,          8.792,         80.458,    24.02,2014121,2014244,2014249,2014302,2014352,2014352,2014,-99,14521,3925,3925,0,6154,.2300250,1706,341.2462,.2702883,4.742929,-99.00000,-99,-99,-99,-99,-99,0,0,1152,588,298,291,120,217,289,2,100,0,181,10,20,102,149,68,.2458900,-99,-99,-99,-99,-99,-99,-99,-99,250,27685,27683,0,0,199005,198977,.000000,.3032791,16.64065,39.36772,48.79916,-99.00000,4.498051,10.64129,13.19065,-99.00000,145.2064,80.22451,39.25000,21.68508,108,29.13056,25.88981,16.43333,11.76183,399.2303,872.6001,368.8462,73.54992,297.5591,1,
6,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,LK04210805,          8.792,         80.458,    24.02,2015121,2015244,2015249,2015303,2015353,2015353,2015,-99,14866,4190,4190,0,6096,.2239876,1871,374.1517,.2818703,4.770290,-99.00000,-99,-99,-99,-99,-99,0,0,1392,597,294,302,198,429,231,2,100,0,181,16,17,105,157,73,.1925510,-99,-99,-99,-99,-99,-99,-99,-99,250,27681,27679,0,0,198979,198951,.000000,.2577349,13.04602,36.92715,50.48961,-99.00000,3.677051,10.40801,14.23062,-99.00000,148.6594,82.13224,41.90000,23.14917,109,29.22752,26.08166,16.14954,11.75932,401.7512,1139.500,402.5746,110.6549,294.4355,1,
7,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,LK04210805,          8.792,         80.458,    24.02,2016121,2016244,2016249,2016301,2016350,2016350,2016,-99,10436,3690,3690,0,5416,.2194126,1682,336.3162,.3535450,2.368006,-99.00000,-99,-99,-99,-99,-99,0,0,840,595,248,347,102,0,206,2,100,0,143,0,88,121,115,64,.2176142,-99,-99,-99,-99,-99,-99,-99,-99,250,27663,27661,0,0,198791,198755,.000000,.4894968E-01,27.05031,30.63083,42.09504,-99.00000,9.564541,10.83055,14.88411,-99.00000,104.3601,72.97910,36.90000,25.80420,106,30.27736,25.86887,17.89339,11.76698,404.9092,385.8000,340.7029,95.66371,247.9155,1,
8,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,LK04210805,          8.792,         80.458,    24.02,2017121,2017257,2017262,2017315,2017365,2017365,2017,-99,16128,5400,5400,0,7974,.2299876,2348,469.6056,.3348252,4.664823,-99.00000,-99,-99,-99,-99,-99,0,0,1089,846,316,530,88,25,192,2,100,0,182,1,24,99,160,91,.3589515,-99,-99,-99,-99,-99,-99,-99,-99,250,27687,27685,0,0,198992,198961,.000000,.6679424E-01,28.12754,41.37941,50.98955,-99.00000,9.417509,13.85443,17.07204,-99.00000,161.2833,88.61720,54.00000,29.67033,108,29.37407,25.82500,17.38148,11.68666,407.0561,573.4000,389.7670,77.41370,316.3066,1,
9,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,LK04210805,          8.792,         80.458,    24.02,2018121,2018245,2018250,2018303,2018353,2018353,2018,-99,13798,3557,3557,0,5247,.2320501,1533,306.5984,.2578217,4.718385,-99.00000,-99,-99,-99,-99,-99,0,0,1059,678,308,370,74,129,240,2,100,0,179,6,32,108,146,62,.2479003,-99,-99,-99,-99,-99,-99,-99,-99,250,27677,27675,0,0,198889,198859,.000000,.2790207,19.23004,35.57305,44.79876,-99.00000,4.957492,9.170709,11.54909,-99.00000,137.9755,77.08131,35.57000,19.87151,108,29.57500,25.63148,17.06019,11.75559,409.3489,717.4999,387.8654,83.79096,307.9897,1,
10,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,LK04210805,          8.792,         80.458,    24.02,2019121,2019244,2019249,2019302,2019351,2019351,2019,-99,14273,4006,4006,0,5830,.2097375,1910,381.9554,.2806430,4.406594,-99.00000,-99,-99,-99,-99,-99,0,0,1199,593,312,281,179,242,246,2,100,0,158,12,19,81,138,64,.3104426,-99,-99,-99,-99,-99,-99,-99,-99,250,27705,27704,0,0,199232,199203,.000000,.1677856,13.53628,33.91560,45.71271,-99.00000,3.799318,9.519320,12.83049,-99.00000,142.7265,90.33322,40.06000,25.35443,107,29.40093,26.01682,17.02524,11.76439,412.1300,1054.400,420.8284,111.3302,312.2249,1,
